FileName,EmoDetail
001-105.1-2_14.wav,WORKER00014332; Contempt; Contempt; A:4.000000; V:3.000000; D:4.000000;
001-105.1-2_14.wav,WORKER00014347; Angry; Angry; A:5.000000; V:3.000000; D:4.000000;
001-105.1-2_14.wav,WORKER00014329; Neutral; Neutral; A:3.000000; V:4.000000; D:3.000000;
001-105.1-2_14.wav,WORKER00014350; Other-Frustrated; Frustrated; A:1.000000; V:4.000000; D:3.000000;
001-105.1-2_14.wav,WORKER00014363; Neutral; Neutral; A:4.000000; V:4.000000; D:4.000000;
004-017.1-2_14.wav,"WORKER00014364; Neutral; Neutral,Excited; A:5.000000; V:4.000000; D:4.000000;"
004-017.1-2_14.wav,WORKER00014365; Neutral; Neutral; A:3.000000; V:4.000000; D:4.000000;
004-017.1-2_14.wav,"WORKER00014363; Happy; Happy,Neutral,Excited; A:4.000000; V:5.000000; D:3.000000;"
004-017.1-2_14.wav,"WORKER00014366; Neutral; Neutral,Concerned; A:5.000000; V:3.000000; D:5.000000;"
004-017.1-2_14.wav,"WORKER00014367; Neutral; Neutral,Concerned; A:5.000000; V:4.000000; D:5.000000;"
004-017.1-2_14.wav,"WORKER00014368; Sad; Sad,Concerned; A:3.000000; V:3.000000; D:5.000000;"
004-017.1-2_14.wav,WORKER00014332; Angry; Angry; A:4.000000; V:3.000000; D:4.000000;
004-017.1-2_14.wav,"WORKER00014345; Happy; Happy,Neutral; A:4.000000; V:5.000000; D:5.000000;"
004-017.1-2_14.wav,WORKER00014369; Neutral; Neutral; A:5.000000; V:4.000000; D:4.000000;
004-017.1-2_2.wav,WORKER00014332; Neutral; Neutral; A:4.000000; V:4.000000; D:4.000000;
004-017.1-2_2.wav,WORKER00014347; Happy; Happy; A:4.000000; V:5.000000; D:4.000000;
004-017.1-2_2.wav,WORKER00014329; Neutral; Neutral; A:5.000000; V:4.000000; D:4.000000;
004-017.1-2_2.wav,"WORKER00014350; Happy; Happy,Other-Proud; A:5.000000; V:5.000000; D:4.000000;"
004-017.1-2_2.wav,"WORKER00014363; Surprise; Amused,Surprise; A:4.000000; V:5.000000; D:5.000000;"
004-017.1-2_40.wav,"WORKER00014364; Neutral; Neutral,Concerned,Annoyed; A:5.000000; V:4.000000; D:4.000000;"
004-017.1-2_40.wav,"WORKER00014365; Neutral; Neutral,Frustrated,Annoyed; A:4.000000; V:3.000000; D:4.000000;"
004-017.1-2_40.wav,"WORKER00014363; Angry; Angry,Frustrated,Annoyed; A:5.000000; V:3.000000; D:4.000000;"
004-017.1-2_40.wav,WORKER00014366; Neutral; Neutral; A:3.000000; V:3.000000; D:5.000000;
004-017.1-2_40.wav,WORKER00014369; Neutral; Neutral; A:5.000000; V:4.000000; D:4.000000;
005-050.1-2_15.wav,WORKER00014369; Neutral; Neutral; A:2.000000; V:4.000000; D:5.000000;
005-050.1-2_15.wav,"WORKER00014350; Sad; Sad,Depressed; A:1.000000; V:2.000000; D:4.000000;"
005-050.1-2_15.wav,"WORKER00014366; Neutral; Neutral,Surprise,Concerned,Excited; A:3.000000; V:3.000000; D:4.000000;"
005-050.1-2_15.wav,"WORKER00014343; Neutral; Neutral,Contempt; A:3.000000; V:3.000000; D:5.000000;"
005-050.1-2_15.wav,"WORKER00014345; Happy; Happy,Neutral; A:3.000000; V:5.000000; D:4.000000;"
005-050.1-2_23.wav,"WORKER00014364; Neutral; Neutral,Frustrated,Concerned,Confused; A:5.000000; V:4.000000; D:5.000000;"
005-050.1-2_23.wav,"WORKER00014347; Angry; Angry,Frustrated,Concerned,Fear; A:5.000000; V:3.000000; D:5.000000;"
005-050.1-2_23.wav,"WORKER00014365; Fear; Neutral,Frustrated,Fear; A:5.000000; V:3.000000; D:3.000000;"
005-050.1-2_23.wav,"WORKER00014363; Angry; Angry,Frustrated,Annoyed; A:4.000000; V:3.000000; D:4.000000;"
005-050.1-2_23.wav,"WORKER00014366; Neutral; Neutral,Frustrated,Concerned,Disappointed; A:3.000000; V:3.000000; D:4.000000;"
005-121.1-2_10.wav,WORKER00014350; Happy; Happy; A:4.000000; V:6.000000; D:5.000000;
005-121.1-2_10.wav,"WORKER00014365; Neutral; Happy,Neutral; A:2.000000; V:5.000000; D:5.000000;"
